trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_0_nback_1_id_36,36,density_0_nback_1,0,1,1,0,0,96,97
density_0_nback_2_id_36,36,density_0_nback_2,0,2,2,0,9,90,179
density_10_nback_0_id_36,36,density_10_nback_0,10,0,5,11,12,92,112
density_10_nback_1_id_36,36,density_10_nback_1,10,1,4,1,10,73,187
density_10_nback_2_id_36,36,density_10_nback_2,10,2,7,5,12,68,84
density_20_nback_0_id_36,36,density_20_nback_0,20,0,3,1,11,209,225
density_20_nback_1_id_36,36,density_20_nback_1,20,1,4,2,6,23,55
density_20_nback_2_id_36,36,density_20_nback_2,20,2,3,2,5,17,152
density_0_nback_0_id_37,37,density_0_nback_0,0,0,1,0,4,89,98
density_0_nback_1_id_37,37,density_0_nback_1,0,1,0,0,0,113,123
density_0_nback_2_id_37,37,density_0_nback_2,0,2,2,0,14,104,190
density_10_nback_0_id_37,37,density_10_nback_0,10,0,4,6,16,30,54
density_10_nback_1_id_37,37,density_10_nback_1,10,1,2,0,5,76,189
density_10_nback_2_id_37,37,density_10_nback_2,10,2,2,1,14,50,55
density_20_nback_0_id_37,37,density_20_nback_0,20,0,1,0,4,214,226
density_20_nback_1_id_37,37,density_20_nback_1,20,1,4,5,12,25,69
density_20_nback_2_id_37,37,density_20_nback_2,20,2,3,0,12,15,233
density_0_nback_0_id_38,38,density_0_nback_0,0,0,2,1,5,39,55
density_0_nback_1_id_38,38,density_0_nback_1,0,1,2,0,4,118,120
density_0_nback_2_id_38,38,density_0_nback_2,0,2,1,0,7,87,186
density_10_nback_0_id_38,38,density_10_nback_0,10,0,8,10,24,82,117
density_10_nback_1_id_38,38,density_10_nback_1,10,1,3,1,6,72,199
density_10_nback_2_id_38,38,density_10_nback_2,10,2,4,3,28,54,61
density_20_nback_0_id_38,38,density_20_nback_0,20,0,2,0,3,204,209
density_20_nback_1_id_38,38,density_20_nback_1,20,1,5,2,24,54,100
density_20_nback_2_id_38,38,density_20_nback_2,20,2,2,2,8,19,269
density_0_nback_0_id_39,39,density_0_nback_0,0,0,3,2,21,57,72
density_0_nback_1_id_39,39,density_0_nback_1,0,1,3,2,5,90,91
density_0_nback_2_id_39,39,density_0_nback_2,0,2,3,2,10,132,165
density_10_nback_0_id_39,39,density_10_nback_0,10,0,3,4,14,60,85
